Run,EP,Noise,MP_l,UF_l,CI,COI
1,10,10,Type III,Type III,73.4,1.2
2,6,3,Type III,Type III,58.8,2.4
3,6,17,Type III,Type II,68.5,2.7
4,3,5,Type II,Type III,28.3,1.1
5,10,10,Type I,Type III,28.8,1.2
6,3,5,Type III,Type I,66.8,1.3
7,6,10,Type I,Type I,75.1,1.5
8,6,10,Type III,Type II,66.8,2.7
9,3,5,Type III,Type III,56.8,2.3
10,6,17,Type II,Type I,62,1.2
11,10,10,Type II,Type II,80.9,3.2
12,3,15,Type II,Type I,61.7,1.2
13,3,15,Type III,Type III,53,2.1
14,3,15,Type I,Type I,61.1,1.2
15,6,3,Type II,Type I,68.4,1.4
16,9,5,Type II,Type I,67.8,1.4
17,9,5,Type I,Type III,28.9,1.2
18,6,10,Type III,Type III,68,2.7
19,9,5,Type III,Type II,70.5,2.8
20,9,15,Type I,Type III,26.8,1.1
21,2,10,Type III,Type I,63.9,1.3
22,2,10,Type III,Type III,40.9,1.6
23,2,10,Type III,Type II,53.4,2.1
24,6,10,Type II,Type II,68.6,2.7
25,6,17,Type I,Type II,73.2,2.9
26,6,3,Type I,Type I,67.7,1.4
27,3,5,Type I,Type I,61.6,1.2
28,10,10,Type II,Type III,29,1.2
29,2,10,Type II,Type II,75.5,3
30,9,5,Type II,Type III,29.1,1.2
31,3,15,Type I,Type III,44.6,1.8
32,6,3,Type III,Type II,75.1,3
33,2,10,Type I,Type III,45.7,1.8
34,9,15,Type II,Type I,63.2,1.3
35,6,17,Type II,Type III,26.6,1.1
36,9,15,Type III,Type I,63.9,1.3
37,10,10,Type I,Type I,67.1,1.3
38,3,15,Type III,Type II,68.2,2.7
39,6,3,Type I,Type III,29,1.2
40,9,15,Type II,Type III,27.1,1.1
41,9,5,Type I,Type I,67.5,1.4
42,3,5,Type II,Type I,66.1,1.3
43,6,10,Type III,Type I,65.2,1.3
44,9,15,Type II,Type II,75.5,3
45,10,10,Type II,Type I,67.8,1.4
46,6,17,Type II,Type II,74,3
47,2,10,Type I,Type II,38.5,1.5
48,3,15,Type I,Type II,37.5,1.5
49,3,15,Type III,Type I,62.3,1.3
50,2,10,Type II,Type I,50.2,1
51,9,15,Type I,Type I,62.6,1.3
52,9,5,Type III,Type III,58.3,2.3
53,6,3,Type II,Type II,81.7,3.3
54,9,15,Type III,Type III,60.8,2.4
55,6,17,Type I,Type I,61.4,1.2
56,9,15,Type I,Type II,74.7,3
57,3,15,Type II,Type III,26.4,1.1
58,2,10,Type II,Type III,27.1,1.1
59,3,15,Type II,Type II,73.6,2.9
60,6,10,Type I,Type III,65.5,2.6
61,6,3,Type I,Type II,80.8,3.2
62,9,15,Type III,Type II,69.9,2.8
63,9,5,Type II,Type II,80.9,3.2
64,6,3,Type II,Type III,29.3,1.2
65,3,5,Type I,Type II,40.8,1.6
66,3,5,Type II,Type II,79.3,3.2
67,10,10,Type III,Type I,68.5,1.4
68,9,5,Type I,Type II,80.9,3.2
69,10,10,Type I,Type II,80.1,3.2
70,6,10,Type II,Type III,66.8,2.7
71,9,5,Type III,Type I,68.6,1.4
72,6,3,Type III,Type I,81.5,1.6
73,6,10,Type II,Type I,75.9,1.5
74,2,10,Type I,Type I,58.5,1.2
75,3,5,Type III,Type II,73.1,2.9
76,3,5,Type I,Type III,48.3,1.9
77,6,17,Type III,Type III,59.6,2.4
78,6,17,Type I,Type III,26.3,1.1
79,10,10,Type III,Type II,78.3,3.1
80,6,17,Type III,Type I,62.6,1.3
81,6,10,Type I,Type II,67.9,2.7
