Expt,N,P,L,M,A,F,S,Weight,Cell
1,-1,-1,-1,1,1,1,-1,4.2,10.8
2,1,-1,-1,-1,-1,1,1,4.4,24.9
3,-1,1,-1,-1,1,-1,1,7.8,27.3
4,1,1,-1,1,-1,-1,-1,14.9,36.3
5,-1,-1,1,1,-1,-1,1,25.3,112.6
6,1,-1,1,-1,1,-1,-1,26.7,159.3
7,-1,1,1,-1,-1,1,-1,23.9,145.2
8,1,1,1,1,1,1,1,21.9,243.2
9,1,1,1,-1,-1,-1,1,24.3,72.1
10,-1,1,1,1,1,-1,-1,20.5,112.2
11,1,-1,1,1,-1,1,-1,10.8,22.5
12,-1,-1,1,-1,1,1,1,20.8,149.7
13,1,1,-1,1,1,-1,1,3.51,40.1
14,-1,1,-1,1,-1,1,1,10.3,47.3
15,1,-1,-1,1,1,-1,1,23.00,153.2
16,-1,-1,-1,-1,-1,-1,-1,12.1,35.2
17,-1,-1,-1,1,-1,1,-1,13.9,129.5
18,1,-1,-1,-1,1,1,1,9.3,268.8
19,-1,1,-1,-1,-1,-1,1,22.00,127.4
20,1,1,-1,1,1,-1,-1,20.8,135.9
21,-1,-1,1,1,1,-1,1,24.3,112.3
22,1,-1,1,-1,-1,-1,-1,27.6,119.7
23,-1,1,1,-1,1,1,-1,10.2,221.7
24,1,1,1,1,-1,1,1,2.8,35.3
